Sample in Buffer,Sample in Window,TRIGGER,design_1_i/ps7_0_axi_periph_M00_AXI_WREADY,design_1_i/ps7_0_axi_periph_M00_AXI_AWADDR[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_BRESP[1:0],design_1_i/ps7_0_axi_periph_M00_AXI_BVALID,design_1_i/ps7_0_axi_periph_M00_AXI_BREADY,design_1_i/ps7_0_axi_periph_M00_AXI_ARADDR[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_RREADY,design_1_i/ps7_0_axi_periph_M00_AXI_WVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARREADY,design_1_i/ps7_0_axi_periph_M00_AXI_RDATA[31:0],design_1_i/ps7_0_axi_periph_M00_AXI_AWVALID,design_1_i/ps7_0_axi_periph_M00_AXI_AWREADY,design_1_i/ps7_0_axi_periph_M00_AXI_RRESP[1:0],design_1_i/ps7_0_axi_periph_M00_AXI_WDATA[31:0],design_1_i/ps7_0_axi_periph_M00_AXI_WSTRB[3:0],design_1_i/ps7_0_axi_periph_M00_AXI_RVALID,design_1_i/ps7_0_axi_periph_M00_AXI_ARPROT[2:0],design_1_i/ps7_0_axi_periph_M00_AXI_AWPROT[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
130,130,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
131,131,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
132,132,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
133,133,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
134,134,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
135,135,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
136,136,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
137,137,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
138,138,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
139,139,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
140,140,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
141,141,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
142,142,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
143,143,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
144,144,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
145,145,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
146,146,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
147,147,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
148,148,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
149,149,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
150,150,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
151,151,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
152,152,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
153,153,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
154,154,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
155,155,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
156,156,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
157,157,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
158,158,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
159,159,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
160,160,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
161,161,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
162,162,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
163,163,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
164,164,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
165,165,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
166,166,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
167,167,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
168,168,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
169,169,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
170,170,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
171,171,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
172,172,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
173,173,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
174,174,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
175,175,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
176,176,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
177,177,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
178,178,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
179,179,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
180,180,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
181,181,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
182,182,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
183,183,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
184,184,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
185,185,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
186,186,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
187,187,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
188,188,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
189,189,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
190,190,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
191,191,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
192,192,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
193,193,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
194,194,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
195,195,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
196,196,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
197,197,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
198,198,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
199,199,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
200,200,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
201,201,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
202,202,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
203,203,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
204,204,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
205,205,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
206,206,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
207,207,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
208,208,0,0,a,0,0,0,a,0,0,0,0,00000000,0,0,0,faea9be9,b,0,6,6
